XPT,YPT,ZPT,AU_G_T,use,DIST_C
25.0,346.5,1.5,0.05311348,0,55.922
25.0,349.5,1.5,2.15525317,0,58.921
25.0,352.5,1.5,3.06722164,0,61.92
25.0,355.5,1.5,2.45563698,0,64.919
25.0,358.5,1.5,0.73996127,0,67.919
25.0,361.5,1.5,0.6716072,0,70.918
25.0,364.5,1.5,0.59201854,0,73.917
25.0,367.5,1.5,1.30224335,0,73.977
25.0,370.5,1.5,1.76479721,0,71.319
25.0,373.5,1.5,0.87046015,0,68.69
25.0,376.5,1.5,1.46427572,0,66.092
25.0,379.5,1.5,1.54637349,0,63.529
25.0,382.5,1.5,2.38891506,0,61.007
25.0,385.5,1.5,3.08885074,0,58.53
25.0,388.5,1.5,1.43042016,0,56.103
25.0,391.5,1.5,1.97573853,0,53.735
25.0,394.5,1.5,2.75465631,0,51.432
25.0,397.5,1.5,4.69753122,0,49.205
25.0,400.5,1.5,4.84990788,0,47.064
25.0,403.5,1.5,3.04639101,0,45.021
25.0,406.5,1.5,3.59534621,0,43.09
25.0,409.5,1.5,2.33152175,0,41.287
25.0,412.5,1.5,2.53727055,0,39.629
25.0,415.5,1.5,0.742975,0,38.136
25.0,418.5,1.5,2.41369867,0,36.826
25.0,421.5,1.5,2.60851741,0,35.722
25.0,424.5,1.5,0.853701,0,34.841
25.0,427.5,1.5,2.50148225,0,34.202
25.0,430.5,1.5,1.30511308,0,33.818
25.0,433.5,1.5,2.74497652,0,33.697
25.0,436.5,1.5,2.89744997,0,33.843
25.0,439.5,1.5,1.88111854,0,34.252
25.0,442.5,1.5,2.4105258,0,34.915
25.0,445.5,1.5,2.8303287,0,35.818
25.0,448.5,1.5,1.41323602,0,36.943
25.0,451.5,1.5,2.00487208,0,38.271
25.0,454.5,1.5,2.50748324,0,38.154
25.0,457.5,1.5,2.93152189,0,35.222
25.0,460.5,1.5,3.0399642,0,32.302
25.0,463.5,1.5,3.08059168,0,29.398
25.0,466.5,1.5,0.86387163,0,26.515
25.0,469.5,1.5,2.10233045,0,23.662
25.0,472.5,1.5,2.70527744,0,20.849
25.0,475.5,1.5,3.0801599,0,18.097
25.0,478.5,1.5,4.13127327,0,15.438
25.0,481.5,1.5,2.59010863,0,12.929
25.0,484.5,1.5,1.85378551,0,10.676
25.0,487.5,1.5,1.30607188,0,8.8774
25.0,490.5,1.5,0.4916153,0,7.8506
25.0,493.5,1.5,0.50333661,0,7.9028
25.0,496.5,1.5,1.01199925,0,9.0154
25.0,499.5,1.5,0.80307472,0,10.867
25.0,502.5,1.5,2.133147,0,13.15
25.0,505.5,1.5,2.31626153,0,15.676
25.0,508.5,1.5,1.30636322,0,18.346
25.0,511.5,1.5,1.57077038,0,21.104
25.0,514.5,1.5,2.9087882,0,23.921
25.0,517.5,1.5,0.82546294,0,26.778
25.0,520.5,1.5,2.30021119,0,29.662
25.0,523.5,1.5,2.6825726,0,32.568
25.0,526.5,1.5,0.8062669,0,35.49
25.0,529.5,1.5,0.8552407,0,38.423
25.0,532.5,1.5,2.06946421,0,41.366
25.0,535.5,1.5,0.76259726,0,44.317
25.0,538.5,1.5,1.01651013,0,47.274
25.0,541.5,1.5,1.60680079,0,50.236
25.0,544.5,1.5,1.74874687,0,52.697
25.0,547.5,1.5,1.23735583,0,50.12
25.0,550.5,1.5,0.43445283,0,47.594
25.0,553.5,1.5,0.29404896,0,45.125
25.0,556.5,1.5,0.40061706,0,42.724
25.0,559.5,1.5,0.04464712,0,40.404
25.0,562.5,1.5,0.40630037,0,38.178
25.0,565.5,1.5,0.05571552,0,36.064
25.0,568.5,1.5,0.33528253,0,34.084
25.0,571.5,1.5,0.68782365,0,32.262
25.0,574.5,1.5,1.3141197,0,30.626
25.0,577.5,1.5,1.2749846,0,29.207
25.0,580.5,1.5,0.81483769,0,28.038
25.0,583.5,1.5,0.41648737,0,27.152
25.0,586.5,1.5,2.16042948,0,26.577
25.0,589.5,1.5,2.89630675,0,26.333
25.0,592.5,1.5,3.17718172,0,26.43
25.0,595.5,1.5,3.32193708,0,26.863
25.0,598.5,1.5,3.12445736,0,27.617
25.0,601.5,1.5,3.07574964,0,28.667
25.0,604.5,1.5,2.75528073,0,29.982
25.0,607.5,1.5,3.86308575,0,31.528
25.0,610.5,1.5,3.50995111,0,33.273
25.0,613.5,1.5,2.70382714,0,35.188
25.0,616.5,1.5,1.68534672,0,37.247
25.0,619.5,1.5,2.88782477,0,39.426
25.0,622.5,1.5,2.45261145,0,41.707
25.0,625.5,1.5,2.7037313,0,44.075
25.0,628.5,1.5,4.05450058,0,46.516
25.0,631.5,1.5,2.60255408,0,49.018
25.0,634.5,1.5,3.1011982,0,47.842
25.0,637.5,1.5,3.96673632,0,44.842
25.0,640.5,1.5,2.39915514,0,41.843
25.0,643.5,1.5,3.18156791,0,38.843
25.0,646.5,1.5,3.59877419,0,35.844
25.0,649.5,1.5,2.89677048,0,32.844
25.0,652.5,1.5,2.0721736,0,29.845
25.0,655.5,1.5,2.76552987,0,26.846
25.0,658.5,1.5,2.01030755,0,23.847
25.0,661.5,1.5,0.59529108,0,20.849
25.0,664.5,1.5,2.34477329,0,17.851
25.0,667.5,1.5,2.33127737,0,14.854
25.0,670.5,1.5,0.71869093,0,11.858
25.0,673.5,1.5,1.81570363,0,8.8659
25.0,676.5,1.5,1.69546223,0,5.881
25.0,679.5,1.5,0.41144466,0,2.9272
25.0,682.5,1.5,0.63010001,1,0.74233
25.0,685.5,1.5,3.58635378,0,3.2455
25.0,688.5,1.5,1.64176786,0,6.2061
25.0,691.5,1.5,0.86612171,0,9.1923
25.0,694.5,1.5,2.37977266,0,12.185
25.0,697.5,1.5,0.39324144,0,15.181
25.0,700.5,1.5,0.85799277,0,18.178
25.0,703.5,1.5,0.5095039,0,21.176
25.0,706.5,1.5,0.39962435,0,24.175
25.0,709.5,1.5,1.24541378,0,27.173
25.0,712.5,1.5,0.94612563,0,30.172
25.0,715.5,1.5,0.27582672,0,33.172
25.0,718.5,1.5,0.3640188,0,36.171
25.0,721.5,1.5,0.06928153,0,39.17
25.0,724.5,1.5,0.40950871,0,39.311
25.0,727.5,1.5,0.64994848,0,38.411
25.0,730.5,1.5,0.31954002,0,37.728
25.0,733.5,1.5,1.85068738,0,37.274
25.0,736.5,1.5,0.43966618,0,37.059
25.0,739.5,1.5,1.21592641,0,37.086
25.0,742.5,1.5,0.86230928,0,37.354
25.0,745.5,1.5,1.77105725,0,37.859
25.0,748.5,1.5,0.84434998,0,38.592
25.0,1.5,4.5,1.52814746,0,94.678
